country,unit,date_implemented,date_lifted,measure,level,measure_cat,measure_sub_cat,source,entered_by,reviewed_by
CH,CH-TI,2020-04-03,,ban on visits in closed educational institutions,cantonal,other,,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200402_RG_1719_COVID19_CEM_fino_al_13_aprile.pdf,SB,FK
CH,CH-SG,2020-02-06,,persons returning from China and showing symptomps must contact their doctos,cantonal,other,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1749545883.ocFile/Medienmitteilung%20Information%2006.02..pdf,SB,FK
CH,CH-SG,2020-02-06,,hotline activated,cantonal,recommendations,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1749545883.ocFile/Medienmitteilung%20Information%2006.02..pdf,SB,FK
CH,CH-SG,2020-02-25,,hygiene rules for the population published,cantonal,recommendations,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1391405191.ocFile/Medienmitteilung%20Hygieneregeln%20Coronavirus.pdf,SB,FK
CH,CH-SG,2020-02-28,,ice hockey match HC Lugano vs  SC Rapperswil-Jona Lakers is played without spectators,cantonal,other,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_111491988.ocFile/Medienmitteilung%20Match%20SC%20Rapperswil-Jona%20Lakers.pdf,SB,FK
CH,CH-SG,2020-03-04,,events with more than 150 persons must register online,cantonal,mass_gatherings,event permit required,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_861503390.ocFile/Medienmitteilung%20%C3%84nderung%20Weisung%20Veranstaltungen%20SG.pdf,SB,FK
CH,CH-SG,2020-03-04,,recommendation to keep social distanc,cantonal,recommendations,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_861503390.ocFile/Medienmitteilung%20%C3%84nderung%20Weisung%20Veranstaltungen%20SG.pdf,SB,FK
CH,CH-SG,2020-03-12,,"closure of university, tertiary education should be offered at distance whenever possible",cantonal,public_institutions,closure of universities,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1010940708.ocFile/Medienmitteilung%20Distance%20Learning%20Hochschulen%20SG.docx.pdf,SB,FK
CH,CH-SG,2020-03-14,,events with less than 100 persons can be held with special conditions,cantonal,mass_gatherings,event permit required,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1028877548.ocFile/Medienmitteilung%20Bundesratsentscheid%20Auswirkungen%20SG.pdf,SB,FK
CH,CH-SG,2020-03-14,,restaurants and bars cannot host more than 50 persons,cantonal,private_institutions,restriction of access to private institutions,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1028877548.ocFile/Medienmitteilung%20Bundesratsentscheid%20Auswirkungen%20SG.pdf,SB,FK
CH,CH-SG,2020-03-16,,restriction on hopsital and retirement home visits,cantonal,public_institutions,restriction of access to short- and long-term care facilites,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1226681471.ocFile/Medienmitteilung%20Entscheide%20Regierung%20nach%20Bundesratsentscheid%20SG.pdf,SB,FK
CH,CH-SG,2020-03-16,,ballot box elections instead of assemblies,cantonal,other,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1226681471.ocFile/Medienmitteilung%20Entscheide%20Regierung%20nach%20Bundesratsentscheid%20SG.pdf,SB,FK
CH,CH-SG,2020-03-17,,at risk groups invited to stay home,cantonal,mobility,stay-at-home recommendation,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_59923961.ocFile/Medienmitteilung%20der%20Regierung%20zum%20Coronavirus%20SG.pdf,SB,FK
CH,CH-SG,2020-03-16,,cantonal hotline opened,cantonal,recommendations,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_59923961.ocFile/Medienmitteilung%20der%20Regierung%20zum%20Coronavirus%20SG.pdf,SB,FK
CH,CH-SG,2020-03-16,,asked army assistance,cantonal,other,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_59923961.ocFile/Medienmitteilung%20der%20Regierung%20zum%20Coronavirus%20SG.pdf,SB,FK
CH,CH-SG,2020-03-19,,cantonal services are reduced,cantonal,public_institutions,closure of public offices and counters,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1854498657.ocFile/MM%20Dienstleistungen.pdf,SB,FK
CH,CH-SG,2020-03-20,,Gatherings of more than 5 people are prohibited,cantonal,mass_gatherings,ban of events / mass gatherings of > 5 persons,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_185449.ocFile/Medienmitteilung%20Reaktion%20Versammlungseinschr%C3%A4nkung%20SG.pdf,FK,
CH,CH-SG,2020-03-30,,Establishment of 3 consultatio centers for suspected cases,cantonal,case_management,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_381305564.ocFile/Medienmitteilung%20%20Konsultationszentren%20%20SG.pdf,FK,
CH,CH-SG,2020-03-24,,Economic support for KMUs,cantonal,economic,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_964047.ocFile/Medienmitteilung%20Massnahmenpaket.pdf,FK,
CH,CH-SG,2020-03-28,,Day care of children with working parents established for the spring break,cantonal,other,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_275528189.ocFile/Medienmitteilung%20Schulbetreuung%20w%C3%A4hrend%20Fr%C3%BChlingsferien%20SG.pdf,FK,
CH,CH-SG,2020-03-28,2020-05-31,suspension of signature collection for popular initatives,cantonal,other,,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_1112529750.ocFile/Medienmitteilung%20Fristenstillstand.pdf,FK,
CH,CH-SG,2020-03-04,,First case tested and detected,cantonal,case_management,testing,https://www.sg.ch/tools/informationen-coronavirus/medieninformation-coronavirus/_jcr_content/Par/sgch_downloadlist_30/DownloadListPar/sgch_download_2107566367.ocFile/Medienmitteilung%20Best%C3%A4tigter%20Corona-Fall%20Kanton%20SG%20Web.pdf,FK,FK
CH,CH-LU,2020-02-28,,ban with events with participants from abroad,cantonal,mass_gatherings,event permit required,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=w%2BMz4ekwhGDTzbUjoQnjxmvN0%2Bozj2pLS3fvje28o%2BBmFWGAtzZVQY%2BJdrJwqQ%2B%2FHVtsUZ2kVErc7JAkTU7Pkgx8ZpmKcqzaoSQatOGmdcY%3D,SB,FK
CH,CH-LU,2020-02-28,,events with less than 1000 must undergo risk evaluation,cantonal,mass_gatherings,event permit required,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=w%2BMz4ekwhGDTzbUjoQnjxmvN0%2Bozj2pLS3fvje28o%2BBmFWGAtzZVQY%2BJdrJwqQ%2B%2FHVtsUZ2kVErc7JAkTU7Pkgx8ZpmKcqzaoSQatOGmdcY%3D,SB,FK
CH,CH-LU,2020-03-01,,population with light flu-like symptoms invited not to use emergency services,cantonal,other,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upANkqCfzashsyQ8OuYj94TS5v9fti5DCn3zpUvSWMGCEnk2BPmLpSdtMDkSKqkO0JI2xaS9hzvTqnZfmtLXOHSjE%3D,SB,FK
CH,CH-LU,2020-03-01,,population with flu-like symptoms invited to visit a doctor only after telephone contact,cantonal,other,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upANkqCfzashsyQ8OuYj94TS5v9fti5DCn3zpUvSWMGCEnk2BPmLpSdtMDkSKqkO0JI2xaS9hzvTqnZfmtLXOHSjE%3D,SB,FK
CH,CH-LU,2020-03-01,,"invitation to physical distancing ""Lächeln ist das neue Händeschütteln""",cantonal,recommendations,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upANkqCfzashsyQ8OuYj94TS5v9fti5DCn3zpUvSWMGCEnk2BPmLpSdtMDkSKqkO0JI2xaS9hzvTqnZfmtLXOHSjE%3D,SB,FK
CH,CH-LU,2020-03-09,,persons with light flu-like symptoms must self-isolate,cantonal,case_management,isolation and self-isolation,https://newsletter.lu.ch/inxmail/html_mail.jsp?id=0&email=newsletter.lu.ch&mailref=000fplq0000ti00000000000000q7c6e,SB,FK
CH,CH-LU,2020-03-09,,persons with severe flu-like symptoms will be tested,cantonal,case_management,testing,https://newsletter.lu.ch/inxmail/html_mail.jsp?id=0&email=newsletter.lu.ch&mailref=000fplq0000ti00000000000000q7c6e,SB,FK
CH,CH-LU,2020-03-09,,doctors must perform contact tracing,cantonal,case_management,contact tracing,https://newsletter.lu.ch/inxmail/html_mail.jsp?id=0&email=newsletter.lu.ch&mailref=000fplq0000ti00000000000000q7c6e,SB,FK
CH,CH-LU,2020-03-13,,"restaurants cannot host more than 50 persons, distance must be guaranteed at any time",cantonal,private_institutions,restriction of access to private institutions,"https://newsletter.lu.ch/inxmail/html_mail.jsp?params=LCJbXleBHTWCScrFQyo%2FzbMv2VhB5vMkifKlTsHaL9H%2Fg%2Fjuo8zmD3gvSTp7g5lVpbM3Oq7%2BO1jAaMj8LvZZXQdRjD5%2Fons5pFbCqp2RdSQ%3D""",SB,FK
CH,CH-LU,2020-03-13,,persons at risk are adivsed to stay home,cantonal,recommendations,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=LCJbXleBHTWCScrFQyo%2FzbMv2VhB5vMkifKlTsHaL9H%2Fg%2Fjuo8zmD3gvSTp7g5lVpbM3Oq7%2BO1jAaMj8LvZZXQdRjD5%2Fons5pFbCqp2RdSQ%3D,SB,FK
CH,CH-LU,2020-03-16,,"information event on ""Neuer Luzerner Theater"" canceled",cantonal,other,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAN2u2K7lLkgV7ni9kfWLLNNv9fti5DCn3zpUvSWMGCEn781lGrrIOKwuMLB3n0GTbuqSF21ZRedwh6kgkNd%2FUdI%3D,SB,FK
CH,CH-LU,2020-03-17,,ban on visits in hospitals and retirement homes (with exceptions),cantonal,public_institutions,ban of access to short- and long-term care facilites,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAMeQm57%2FDl%2F1VMjE%2BBt6LfCZdweUdKfwhAE94i2Apium0TzNTs84H8V2OKZ1p8WANuL20IXD9LSWa7lyGRmzyx8%3D,SB,FK
CH,CH-LU,2020-03-18,,cantonal ballot postponed,cantonal,other,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAAo%2B2IpLey1%2Fb08JE3R%2BRgBv9fti5DCn3zpUvSWMGCEn9L3L3YSSrHCOEhS%2FhjU9LJSVDiyH0bjjYuAjLbn7jQ4%3D,SB,FK
CH,CH-LU,2020-03-18,,municipal elections will be held via mail vote,cantonal,other,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAAo%2B2IpLey1%2Fb08JE3R%2BRgBv9fti5DCn3zpUvSWMGCEn9L3L3YSSrHCOEhS%2FhjU9LJSVDiyH0bjjYuAjLbn7jQ4%3D,SB,FK
CH,CH-LU,2020-03-19,,"information event on ""Neuer Luzerner Theater"" canceled",cantonal,other,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAN2u2K7lLkgV7ni9kfWLLNNv9fti5DCn3zpUvSWMGCEn781lGrrIOKwuMLB3n0GTbuqSF21ZRedwh6kgkNd%2FUdI%3D,SB,FK
CH,CH-LU,2020-03-20,,police will inform on the necessity of keeping distances using PA systems,cantonal,other,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAMkM2fPg8wf5fc2%2ByLaxIjSZdweUdKfwhAE94i2ApiumO%2BTtMBSYFzji%2BFKXSpX8cog52xX%2BQot5hMhsg4Azm38%3D,SB,FK
CH,CH-LU,2020-03-20,,public information campaign on distancing,cantonal,recommendations,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAMkM2fPg8wf5fc2%2ByLaxIjSZdweUdKfwhAE94i2ApiumO%2BTtMBSYFzji%2BFKXSpX8cog52xX%2BQot5hMhsg4Azm38%3D,SB,FK
CH,CH-LU,2020-03-23,,call for volunteers to assist in health care insitutions,cantonal,other,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upADoAT8HLZSciqdmH4t4ryXxv9fti5DCn3zpUvSWMGCEnCOzLP32Jy5UMGjSS%2BnckJEqxBLu8VioLlgALFzuJVGE%3D,SB,FK
CH,CH-LU,2020-03-25,,drive through testing,cantonal,case_management,testing,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upACbnPseOBfZZ7ITspMpjdfCZdweUdKfwhAE94i2Apiumx1qDHUsnvqWpr%2BYQsUuCQJDYnsrbz07eQ1g3AcHth6A%3D,MBND,FK
CH,CH-LU,2020-03-25,,voting should be done via postal vote,cantonal,other,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAJcHXYmL0y%2FPAuXPw0kNT7xF5RdvP1h7fP9j1a1J0dtVpNJfrL009fTdE43xZ8YtkqV8gaBXFW6m5croGYzZk%2FI%3D,MBND,FK
CH,CH-LU,2020-03-25,,test centre relocated to appease local resident concerns,cantonal,case_management,testing,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAJcHXYmL0y%2FPAuXPw0kNT7xF5RdvP1h7fP9j1a1J0dtVpNJfrL009fTdE43xZ8YtkqV8gaBXFW6m5croGYzZk%2FI%3D,MBND,FK
CH,CH-LU,2020-03-25,,increased hospital capacity,cantonal,case_management,,https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAHS1p%2BKv7ChQbQN56U33wCNv9fti5DCn3zpUvSWMGCEnSYNEHY7RRfAOyDjVAkGQct%2B%2BePhUuuemu0iGcr2BaF8%3D,MBND,FK
